ligandid,Canonical_Smiles
"(1R,3S,4S)-1,8-Epoxy-p-menthan-3-ol glucoside",CC1(C2CCC(O1)(CC2OC3C(C(C(C(O3)CO)O)O)O)C)C
"(3b,9R)-5-Megastigmene-3,9-diol 9-[apiosyl-(1-6)-glucoside]",CC1=C(C(CC(C1)O)(C)C)CCC(C)OC2C(C(C(C(O2)COC3C(C(CO3)(CO)O)O)O)O)O
"(3beta,8beta)-3-Hydroxy-7(11)-eremophilen-12,8-olide",CC1C(CCC2C1(CC3=C(C(=O)OC3C2)C)C)O
(7'R)-(+)-Lyoniresinol 9'-glucoside,COC1=CC(=CC(=C1O)OC)C2C(C(CC3=CC(=C(C(=C23)OC)O)OC)CO)COC4C(C(C(C(O4)CO)O)O)O
(7'R)-(+)-Lyoniresinol 9'-glucoside,COC1=CC(=CC(=C1O)OC)C2C(C(CC3=CC(=C(C(=C23)OC)O)OC)CO)COC4C(C(C(C(O4)CO)O)O)O
(7'R)-(+)-Lyoniresinol 9'-glucoside,COC1=CC(=CC(=C1O)OC)C2C(C(CC3=CC(=C(C(=C23)OC)O)OC)CO)COC4C(C(C(C(O4)CO)O)O)O
1-Hexanol arabinosylglucoside,CCCCCCOC1C(C(C(C(O1)COC2C(C(C(O2)CO)O)O)O)O)O
1-Hexanol arabinosylglucoside,CCCCCCOC1C(C(C(C(O1)COC2C(C(C(O2)CO)O)O)O)O)O
"1-Hydroxyhexane-1,2,6-tricarboxylate",C(CCC(=O)O)CC(C(C(=O)O)O)C(=O)O
"1-Hydroxypentane-1,2,5-tricarboxylate",C(CC(C(C(=O)O)O)C(=O)O)CC(=O)O
1-O-Galloyl-beta-D-glucose,C1=C(C=C(C(=C1O)O)O)C(=O)OC2C(C(C(C(O2)CO)O)O)O
1-Pyrroline-4-hydroxy-2-carboxylate,C1C(CN=C1C(=O)O)O
"1,2,10-Trihydroxydihydro-trans-linalyl oxide 7-O-beta-D-glucopyranoside",CC(C)(C1CCC(O1)(CO)C(CO)O)OC2C(C(C(C(O2)CO)O)O)O
"10-hydroperoxy-8E,12Z-octadecadienoic acid",CCCCCC=CCC(C=CCCCCCCC(=O)O)OO
10-Hydroxymorroniside,COC(=O)C1=COC(C2C1CC(OC2CO)O)OC3C(C(C(C(O3)CO)O)O)O
11-O-Demethyl-17-O-deacetylvindoline,CCC12C=CCN3C1C4(CC3)C(C(C2O)(C(=O)OC)O)N(C5=C4C=CC(=C5)O)C
11-O-Demethylpradinone I,CC1=CC2=C(C3=C(C4=C(C=C3C(C2O)O)C(=O)C5=C(C4=O)C=C(C=C5O)O)O)C(=C1C(=O)O)O
